IMG_20190323_111717.jpg;112;70;564;72;564;871;138;882
IMG_20190323_111739.jpg;1046;486;1087;486;1087;538;1047;540
IMG_20190323_111749.jpg;1180;445;1238;447;1238;519;1178;523
IMG_20190323_111804.jpg;60;216;1370;220;1362;828;63;837
IMG_20190323_111817.jpg;117;268;1320;280;1303;634;124;626
IMG_20190323_111828.jpg;126;169;644;171;623;718;141;706
IMG_20190323_111837.jpg;114;155;635;168;606;718;124;706
IMG_20190323_111845.jpg;834;240;1306;239;1305;828;830;834
IMG_20190323_111852.jpg;146;135;637;138;623;828;154;828
IMG_20190323_111858.jpg;143;115;661;104;646;893;155;880
IMG_20190323_111906.jpg;527;416;627;418;624;555;526;552
IMG_20190323_111915.jpg;618;303;806;307;797;581;609;581
