IMG_20190323_114720.jpg;121;882;691;880;671;55;135;57
IMG_20190323_114730.jpg;138;172;614;166;629;748;145;756
IMG_20190323_114742.jpg;70;138;743;137;739;908;75;901
IMG_20190323_114750.jpg;152;75;1243;70;1254;880;143;880
IMG_20190323_114800.jpg;60;140;729;141;702;847;97;843
IMG_20190323_114807.jpg;103;98;1322;81;1334;891;91;893
IMG_20190323_114815.jpg;152;158;702;160;675;789;162;780
IMG_20190323_114826.jpg;183;67;1252;69;1277;1030;171;1033
IMG_20190323_114836.jpg;158;100;1246;104;1263;916;126;922
IMG_20190323_114845.jpg;185;129;1248;129;1251;928;189;961
IMG_20190323_114853.jpg;211;172;1158;172;1164;882;203;882
IMG_20190323_114902.jpg;344;145;541;145;540;760;342;748
IMG_20190323_114910.jpg;254;162;496;163;495;779;251;779
IMG_20190323_114917.jpg;280;205;1047;211;1041;823;286;823
IMG_20190323_114924.jpg;91;157;671;154;675;800;101;816
IMG_20190323_114931.jpg;253;162;1154;171;1152;853;270;857
IMG_20190323_115011.jpg;350;266;1072;259;1063;685;345;678
